loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade
3600,3600,3600,36 months,13.99,123.03,C,C4
24700,24700,24700,36 months,11.99,820.28,C,C1
20000,20000,20000,60 months,10.78,432.66,B,B4
35000,35000,35000,60 months,14.85,829.9,C,C5
10400,10400,10400,60 months,22.45,289.91,F,F1
11950,11950,11950,36 months,13.44,405.18,C,C3
20000,20000,20000,36 months,9.17,637.58,B,B2
20000,20000,20000,36 months,8.49,631.26,B,B1
10000,10000,10000,36 months,6.49,306.45,A,A2
8000,8000,8000,36 months,11.48,263.74,B,B5
22400,22400,22400,60 months,12.88,508.3,C,C2
16000,16000,16000,60 months,12.88,363.07,C,C2
1400,1400,1400,36 months,12.88,47.1,C,C2
18000,18000,18000,60 months,19.48,471.7,E,E2
28000,28000,28000,36 months,6.49,858.05,A,A2
9600,9600,9600,36 months,7.49,298.58,A,A4
25000,25000,25000,36 months,7.49,777.55,A,A4
18000,18000,18000,60 months,11.99,400.31,C,C1
23000,23000,23000,60 months,8.49,471.77,B,B1
8650,8650,8650,36 months,19.89,320.99,E,E3
29900,29900,29900,60 months,12.88,678.49,C,C2
16000,16000,16000,60 months,14.85,379.39,C,C5
28000,28000,28000,36 months,13.44,949.38,C,C3
5000,5000,5000,36 months,13.44,169.54,C,C3
6000,6000,6000,36 months,7.49,186.61,A,A4
4225,4225,4225,36 months,14.85,146.16,C,C5
20000,20000,20000,36 months,5.32,602.3,A,A1
16000,16000,16000,60 months,17.97,406.04,D,D4
17600,17600,17600,36 months,5.32,530.03,A,A1
15000,15000,15000,36 months,5.32,451.73,A,A1
16000,16000,16000,36 months,12.88,538.18,C,C2
24250,24250,24250,60 months,24.24,701.01,F,F3
12000,12000,12000,36 months,10.78,391.62,B,B4
25000,25000,25000,60 months,13.99,581.58,C,C4
16800,16800,16800,60 months,12.88,381.23,C,C2
7000,7000,7000,36 months,7.49,217.72,A,A4
21000,21000,21000,60 months,13.99,488.53,C,C4
27500,27500,27500,60 months,14.85,652.06,C,C5
7200,7200,7200,36 months,11.48,237.36,B,B5
20000,20000,20000,36 months,14.85,691.84,C,C5
20000,20000,20000,36 months,15.77,700.88,D,D1
10000,10000,10000,60 months,17.97,253.78,D,D4
16000,16000,16000,60 months,13.99,372.21,C,C4
20000,20000,20000,36 months,9.8,643.47,B,B3
8650,8650,8650,36 months,5.32,260.5,A,A1
21000,21000,21000,60 months,13.44,482.56,C,C3
7200,7200,7200,36 months,15.77,252.32,D,D1
8800,8800,8800,36 months,9.8,283.13,B,B3
14650,14650,14650,60 months,20.5,392.23,E,E4
2500,2500,2500,36 months,17.27,89.47,D,D3
11000,11000,11000,36 months,9.17,350.67,B,B2
23850,23850,23850,60 months,17.27,596.21,D,D3
15700,15700,15700,60 months,16.59,386.74,D,D2
28800,28800,28800,60 months,11.99,640.5,C,C1
10000,10000,10000,36 months,12.88,336.37,C,C2
24000,24000,24000,60 months,9.8,507.58,B,B3
28000,28000,28000,60 months,18.49,718.51,D,D5
35000,35000,35000,60 months,11.99,778.38,C,C1
7200,7200,7200,36 months,9.17,229.53,B,B2
10000,10000,10000,36 months,7.91,312.95,A,A5
16000,16000,16000,60 months,13.44,367.67,C,C3
21875,21875,21875,36 months,11.99,726.46,C,C1
14025,14025,14025,60 months,18.49,359.9,D,D5
35000,35000,35000,60 months,12.88,794.21,C,C2
20000,20000,20000,36 months,12.88,672.73,C,C2
14000,14000,14000,60 months,14.85,331.96,C,C5
16000,16000,16000,60 months,8.49,328.19,B,B1
28000,28000,28000,60 months,14.85,663.92,C,C5
20000,20000,20000,60 months,13.99,465.27,C,C4
17600,17600,17600,60 months,19.89,465.22,E,E3
4200,4200,4200,36 months,13.44,142.41,C,C3
19000,19000,19000,60 months,14.85,450.52,C,C5
15850,15850,15850,60 months,23.13,448.01,F,F2
10000,10000,10000,60 months,11.99,222.4,C,C1
30000,30000,30000,36 months,15.77,1051.31,D,D1
1500,1500,1500,36 months,6.49,45.97,A,A2
25000,25000,25000,36 months,5.32,752.87,A,A1
16250,16250,16250,60 months,13.44,373.41,C,C3
20200,20200,20200,60 months,18.49,518.35,D,D5
23975,23975,23975,60 months,19.89,633.73,E,E3
15000,15000,15000,60 months,10.78,324.5,B,B4
10000,10000,10000,36 months,10.78,326.35,B,B4
15000,15000,15000,36 months,8.49,473.45,B,B1
23100,23100,23100,60 months,20.5,618.46,E,E4
27300,27300,27300,36 months,17.27,977,D,D3
25000,25000,25000,60 months,11.48,549.57,B,B5
15000,15000,15000,36 months,10.78,489.52,B,B4
10000,10000,10000,60 months,16.59,246.33,D,D2
18500,18500,18500,60 months,12.88,419.8,C,C2
5000,5000,5000,36 months,7.91,156.48,A,A5
9000,9000,9000,36 months,9.17,286.92,B,B2
11000,11000,11000,36 months,6.49,337.09,A,A2
20000,20000,20000,36 months,6.49,612.89,A,A2
15000,15000,15000,36 months,5.32,451.73,A,A1
12000,12000,12000,36 months,5.32,361.38,A,A1
8000,8000,8000,36 months,10.78,261.08,B,B4
12000,12000,12000,36 months,10.78,391.62,B,B4
18000,18000,18000,36 months,7.49,559.83,A,A4
3600,3600,3600,36 months,11.48,118.68,B,B5
7200,7200,7200,36 months,17.27,257.67,D,D3
15000,15000,15000,60 months,13.44,344.69,C,C3
5000,5000,5000,36 months,9.8,160.87,B,B3
11550,11550,11550,60 months,16.59,284.51,D,D2
33600,33600,33600,36 months,10.78,1096.53,B,B4
17925,17925,17925,60 months,17.27,448.09,D,D3
17475,17475,17475,36 months,13.99,597.17,C,C4
9000,9000,9000,36 months,8.49,284.07,B,B1
12000,12000,12000,60 months,9.8,253.79,B,B3
4000,4000,4000,36 months,9.17,127.52,B,B2
10500,10500,10500,36 months,15.77,367.96,D,D1
